login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
JulienMelissas,8,3,5,2,11,3,4,1,109,34,0,121,66.5,0,0,0,0,0,0.268971914,0.087705802,0.205613843,0.087705802,126.6,66.5,43.73181217,0,0.10258745,36.07320325,Human,Issues/PRs
EricR,1,1,0,0,0,0,0,0,45,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
OndraZizka,1,1,0,0,2,1,0,0,23,9,0,103,0,0,0,0,0,0,0.162650012,0,0.162650012,0,103,0,0,0,0,0,Human,Issues/PRs
jonbullock,2,1,2,2,2,2,4,1,44,101,22702.525,151,0,0,0,0,0,1,0.162937634,0,0.162937634,0,151,0,29.45833333,0.044194174,0.16170287,28.06317293,Human,Issues/PRs
rigor789,23,5,44,3,87,3,76,1,311,7,1.770833333,129,201,0,0,0,0,5,0.261491081,0.15662631,0.405570668,0.183560452,239.696793,507.9232955,14.5,0,0.072461146,16.93427952,Human,Issues/PRs
dfreedm,11,3,13,3,33,4,9,1,449,29,0,60,0,0,0,0,0,0,0.172132593,0,0.172132593,0,60,0,24,0,0.0372678,20.75,Human,Issues/PRs
zimbatm,42,4,77,3,70,3,89,2,288,20,0,75,175,0,0,0,0,15,0.123902642,0.1488875,0.151025455,0.163447882,180.359375,287.0866426,19.97727273,0,0.187309268,39.10446142,Human,Issues/PRs
propulsor,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
bojand,90,6,29,3,35,3,126,1,142,3,1713.175,212,231.5,0,0,0,0,2,0.248888934,0.183038442,0.285759825,0.187965564,298.1498771,374.8205128,15.5,0,0.076505662,22.15207378,Human,Issues/PRs
markpokornycos,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
crookedneighbor,32,3,26,3,122,3,91,1,93,25,0,114,182,0,0,0,0,5,0.171498585,0.139970842,0.216125462,0.16859022,167.1037037,238.6547231,16.5,0,0,25.42767488,Human,Issues/PRs
quinnjn,2,1,0,0,0,0,11,1,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0.030133654,21.59226916,Human,Issues/PRs
blacktaxi,8,1,0,0,0,0,0,0,58,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
oising,22,4,5,3,39,3,3,1,44,26,0,164,260.5,0,0,0,0,0,0.189151197,0.225767343,0.211778571,0.226634665,971.1575563,462.4014085,42.5,0.226455407,0.20581611,72.96285474,Human,Issues/PRs
mikz,5,3,7,3,11,2,23,1,52,5,1417.375,234,80,0,0,0,0,0,0.187712764,0,0.196334663,0.006968683,197.6923077,80.33333333,10.5,0,0.235497115,32.15183193,Human,Issues/PRs
flyingpie,29,4,15,2,47,3,31,1,16,16,906.2166667,186.5,109,0,0,0,0,0,0.272622191,0.159198642,0.268561654,0.180583088,186.3551282,229.3896104,18.5,0,0.130824204,21.12102566,Human,Issues/PRs
mellinoe,7,2,9,1,59,3,21,1,454,18,6151.341667,209,197,0,0,0,0,0,0.271838772,0.168763185,0.269741091,0.173062973,279.2758621,379.4942529,27.98214286,0,0.070967298,28.04799814,Human,Issues/PRs
dpsoft,8,4,16,4,9,2,12,1,28,0,5554.241667,183,215.5,0,0,0,0,0,0.090557851,0.281309565,0.166140294,0.281309565,178.4166667,215.5,37.16605392,0.22055331,0.22055331,37.16605392,Human,Issues/PRs
sebito91,2,1,0,0,0,0,5,1,78,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
QWp6t,44,5,20,3,24,2,48,1,80,27,0,148,65,0,0,0,0,0,0.198792193,0.025285252,0.19822801,0.06072643,173.1454545,108.8928571,16,0.136082763,0.202918413,17.46437194,Human,Issues/PRs
yogeshgadge,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
ericdill,28,4,40,3,80,3,25,1,64,93,0,133,148.5,0,0,0,0,0,0.139161634,0.179802037,0.152410872,0.183926939,223.4200627,214.1923077,21,0.133630621,0.312330771,23.50858558,Human,Issues/PRs
tacaswell,10,3,44,4,93,3,107,1,389,14,0,135,142,0,0,0,0,6.5,0.167705098,0.168288233,0.192567544,0.180721752,201.0116029,197.7015437,32.38888889,0.150755672,0.17655524,55.6301439,Human,Issues/PRs
yoiang,25,2,1,1,17,3,2,1,39,24,0,107,199,0,0,0,0,0,0.250414545,0.137672198,0.240255459,0.162846124,111.7761194,172.4137931,29.46875,0.314485451,0.314485451,29.46875,Human,Issues/PRs
jskelcy,5,2,0,0,6,3,0,0,32,38,13507.16667,190,0,0,0,0,0,0,0.287827774,0,0.235415767,0,174,0,0,0,0,0,Human,Issues/PRs
akamensky,16,4,8,3,85,3,14,1,20,11,91.3125,475.5,245.5,0,0,0,0,0,0.154101685,0.23777914,0.190031786,0.246389288,754.7487179,585.5519126,27.625,0.107417231,0.291913275,48.95166667,Human,Issues/PRs
vcabbage,8,3,2,1,4,3,0,0,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
ancho,3,2,1,1,0,0,5,1,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
MightLin,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
cw-sakamoto,289,2,3,2,0,0,8,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,0.23570226,0.294062957,14.75925627,Human,Issues/PRs
goncafa,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
vinicius0026,1,1,0,0,0,0,2,1,25,51,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15.3125,0.478091444,0.457064695,14.97916667,Human,Issues/PRs
lirantal,70,4,33,3,70,4,82,1,771,429,0,146,315,0,0,0,0,6,0.154075596,0.163846384,0.211337468,0.244357868,214.4537445,470.3142857,19.91666667,0.158113883,0.205057132,19.63879002,Human,Issues/PRs
AmyOlex,6,2,2,2,22,3,6,1,11,16,0,65,21,0,0,0,0,0,0.202259959,0.1064956,0.186091744,0.193227646,87.22222222,52.03030303,16,0,0.206750596,21.02680556,Human,Issues/PRs
njsmith,28,2,17,4,82,3,36,1,600,0,0,411,344,0,0,0,0,1,0.221654502,0.192879187,0.239312018,0.203956952,735.3589438,468.7258811,38,0,0.086073617,46.40787791,Human,Issues/PRs
tarcieri,76,3,82,3,47,4,74,1,1248,33,6.183333333,164,319,0,0,0,0,17,0.188982237,0.232886668,0.198468143,0.243449271,202.5403727,394.4782609,85.49019608,0.144841365,0.205463372,110.1072426,Human,Issues/PRs
christianalfoni,30,4,30,3,58,4,161,1,785,0,2780.116667,154,172,0,0,0,0,3.5,0.176546966,0.142176901,0.199925938,0.18510413,252.4334764,204.3400673,20.5,0,0.07097451,42.37354562,Human,Issues/PRs
grawk,0,0,2,2,1,1,1,1,94,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
doomspork,41,3,71,3,32,2,80,2,429,25,2.066666667,48,112,0,0,0,0,1,0.124539824,0.058823529,0.175920377,0.101072426,61.55932203,92.72727273,13,0,0.130127504,23.02300363,Human,Issues/PRs
eatkins,64,2,67,3,88,3,70,1,17,0,0,119,240.5,0,0,0,0,3,0.105409255,0.179652433,0.136717792,0.187089648,284.3234463,302.3450704,189.4919355,0.097999192,0.190225189,208.0916093,Human,Issues/PRs
cllns,2,2,3,2,13,2,4,2,40,21,65.30833333,184,100.5,0,0,0,0,0,0.104828484,0.138801462,0.164502053,0.138801462,163.1111111,100.5,11.3125,0.75,0.75,11.3125,Human,Issues/PRs
jeffkl,67,4,73,4,64,3,65,1,30,0,515.65,148,137,0,0,0,0,0,0.116774842,0.105592735,0.144206758,0.119527315,225.6860759,367.5935484,11,0,0.235095455,15.277295,Human,Issues/PRs
cfarm,1,1,1,1,0,0,0,0,65,39,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
theganyo,76,4,74,3,60,3,45,1,126,20,76.56666667,54,132,0,0,0,0,0,0.043437224,0.133630621,0.074753654,0.184757657,70.72131148,235.649635,12,0,0,13.1875,Human,Issues/PRs
chewiebug,3,3,2,1,5,2,6,1,55,0,4.425,248,0,0,0,0,0,0,0.138385013,0,0.226002071,0,275,0,19.5,0,0.160057792,20.88385127,Human,Issues/PRs
grzuy,8,2,4,2,30,3,26,1,50,22,0,120,385,0,0,0,0,0,0.219125245,0.146446315,0.219749904,0.157640791,166.8242424,732.8032787,0,0,0,0,Human,Issues/PRs
djphillyg,14,2,0,0,0,0,1,1,71,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
guigrpa,8,3,0,0,6,2,13,1,78,0,0,176,0,0,0,0,0,0,0.135622245,0,0.135622245,0,176,0,40.74,0.082911346,0.08317438,41.31711755,Human,Issues/PRs
burningice2866,0,0,0,0,4,1,0,0,11,9,0,88.5,101,0,0,0,0,0,0.065097334,0.175035011,0.090055958,0.175035011,89.83333333,101,0,0,0,0,Human,Issues/PRs
gerbenmeyer,8,1,5,1,6,2,22,1,13,3,854.875,34,56,0,0,0,0,0,0,0,0,0.148507019,35.25,54.33333333,8.5,0,0,7.783870968,Human,Issues/PRs
alburdette619,2,1,0,0,2,1,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
LcTwisk,28,4,2,1,4,2,38,1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
Tornhoof,10,4,7,2,32,3,6,1,20,0,4.85,244,514,0,0,0,0,0,0.186040275,0.238514103,0.197919923,0.285476246,536.9052632,1003.3,15.5,0,0.018130943,17.57211538,Human,Issues/PRs
jackjamieson2,0,0,0,0,1,1,0,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
kristerkari,13,3,19,3,43,2,21,1,170,19,4125.158333,115,430,0,0,0,0,0,0.149696238,0.221403721,0.185013141,0.219701657,117.9877751,442.6065574,1.5,0.666666667,0.656070566,4.122361627,Human,Issues/PRs
jacobp100,14,3,16,2,48,3,139,1,60,12,0,109,167,0,0,0,0,1,0.197145623,0.165206443,0.202487063,0.175816153,176.08,216.9504505,0,0,0,6.706797635,Human,Issues/PRs
mosha101,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
gautamsi,74,3,18,3,39,3,39,1,32,5,199.8333333,80,401,0,0,0,0,1,0.103348363,0.153542349,0.116690491,0.229905585,159.7947761,582.5760171,58,0,0.129900215,77.91895135,Human,Issues/PRs
dnna,1,1,1,1,3,2,26,1,14,11,0,1035,0,0,0,0,0,0,0.329843233,0,0.329843233,0,1035,0,10.95,0,0.104096538,9.604767036,Human,Issues/PRs
amwmedia,4,2,1,1,18,3,16,1,92,9,0,63,113,0,0,0,0,0,0.113227703,0.093250481,0.124076489,0.117764786,97.57142857,103.9047619,15,0,0.056988133,14.24286202,Human,Issues/PRs
OrkhanAlikhanov,14,3,1,1,10,3,2,1,46,8,0,524,124,0,0,0,0,0,0.120836627,0.162874271,0.192701161,0.15294683,461.5714286,126.5,0,0,0,0,Human,Issues/PRs
danieldahan,4,2,1,1,15,3,7,1,299,1,0,192,255,0,0,0,0,0,0.268133222,0.377380909,0.292754183,0.320422019,245.2972973,445.8181818,14.4375,0,0.148598782,13.88726184,Human,Issues/PRs
sstephenson,0,0,6,1,0,0,0,0,3488,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,0,0.046687854,25.99283808,Human,Issues/PRs
brentertz,3,1,0,0,1,1,6,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83141762,0.886265993,0.882342556,21.61327984,Human,Issues/PRs
tolbertam,1,1,0,0,0,0,0,0,34,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
dougwilson,0,0,20,2,165,2,15,1,2759,12,0,138,141,0,0,0,0,5,0.242724631,0.194063746,0.248222455,0.196926939,209.0210697,227.7929688,0,0,0,0,Human,Issues/PRs
peritus,0,0,0,0,1,1,0,0,124,89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
ps2,94,3,51,3,10,1,103,1,188,20,0,74,118,0,0,0,0,7,0.177920712,0,0.216104115,0,70.83333333,118,25,0,0.104604083,35.46868585,Human,Issues/PRs
megastep,15,3,7,3,81,2,94,2,79,8,246.25,91,109,0,0,0,0,1,0.15677236,0.11785113,0.170287097,0.130380305,112.2755036,372.9387755,0,0,0,0,Human,Issues/PRs
grayghostvisuals,0,0,9,1,3,2,3,1,276,133,44358.71667,60,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,Human,Issues/PRs
E-B-Smith,0,0,0,0,0,0,1,1,13,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
tedivm,20,4,5,2,17,3,36,1,174,123,0,107,111,0,0,0,0,0.5,0.217689645,0.217025409,0.231669762,0.250807704,121.1935484,221.0769231,0,1,0.816558376,6.85570874,Human,Issues/PRs
jcaip,1,1,0,0,0,0,0,0,42,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
dsghi,4,1,0,0,5,1,0,0,1,4,44632.1375,239.5,126,0,0,0,0,0,0.219310442,0.125738923,0.214591379,0.113851309,207,125.6666667,0,0,0,0,Human,Issues/PRs
jnm2,29,4,59,3,73,4,79,1,55,11,0,133,97,0,0,0,0,2,0.166378066,0.106905806,0.188310705,0.145917755,298.4466801,147.279661,21.5,0,0.066575505,24.14412376,Human,Issues/PRs
AndrewRedican,13,1,15,2,21,3,22,1,6,6,216204.05,110,99,0,0,0,0,0,0.223978947,0,0.229795811,0,113.2747253,120.9333333,42.5,0,0.080662956,48.03149802,Human,Issues/PRs
jordanpadams,9,1,15,2,63,4,42,2,3,0,0,183,137,0,0,0,0,6.5,0.144337567,0.135612701,0.166846659,0.178268853,385.4246575,217.6470588,37.5,0.132453236,0.202428973,31.31936261,Human,Issues/PRs
gregakinman,0,0,0,0,2,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
cjbassi,66,4,40,4,30,3,133,1,164,75,280.1791667,71,173,0,0,0,0,0,0.17293508,0.188608384,0.176856062,0.210077399,82.98130841,290.3589744,12.5,0,0.171582382,14.0556405,Human,Issues/PRs
jmophoto,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
apls777,2,2,3,1,25,2,7,1,22,16,258.5958333,248,119,0,0,0,0,0,0.225493808,0.130091361,0.241045041,0.142217607,352.6871921,227.6282051,48.40322581,0.092450033,0.137344429,49.00120182,Human,Issues/PRs
toshok,33,4,61,3,10,1,46,2,48,2,3050.883333,191.5,120,0,0,0,0,0,0.165228336,0.040655781,0.181243051,0.040655781,206.7142857,120,20.23684211,0,0.148274651,59.28119937,Human,Issues/PRs
Kikobeats,104,4,41,2,14,3,141,1,829,182,0,48,0,0,0,0,0,11,0.120385853,0,0.119694011,0,59,0,13,0,0.175486642,27.07481001,Human,Issues/PRs
scott-wyatt,11,3,2,1,1,1,7,1,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
wwwdata,13,1,8,2,8,1,5,1,47,16,0,59,74,0,0,0,0,0,0.136504727,0.088910845,0.201581914,0.139533694,98.44444444,62.33333333,17.5,0,0.124091082,15.87945458,Human,Issues/PRs
jung-kurt,2,2,2,2,0,0,1,1,83,1,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
nathanleiby,105,4,91,3,10,1,81,2,64,165,0,142,0,0,0,0,0,1,0.079368713,0,0.158011421,0,222.9642857,0,19.5,0,0.042894354,29.16341123,Human,Issues/PRs
sleepsonthefloor,1,1,0,0,0,0,2,1,26,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,Human,Issues/PRs
parndt,16,4,20,3,46,2,41,1,371,19,44.04166667,77,181.5,0,0,0,0,0,0.121716124,0.153147827,0.132339178,0.176973334,96.58933333,242.7804878,21.46666667,0,0.085669788,66.92778967,Human,Issues/PRs
mukeshsoni,29,6,30,2,6,1,56,1,41,1,225820.1667,78,161.5,0,0,0,0,0,0.06761234,0.134114001,0.083778982,0.139598854,59,157.6666667,21.32352941,0,0,25.9570574,Human,Issues/PRs
ah-,2,1,0,0,1,1,0,0,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
jwkvam,0,0,0,0,0,0,0,0,114,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
b-admike,6,2,0,0,0,0,1,1,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
jorgebucaran,44,4,32,3,162,4,47,1,865,1,5.191666667,134,138,0,0,0,0,15,0.1653875,0.194671126,0.177990535,0.199271753,203.4672131,213.4123989,17,0,0.049303716,21.19636861,Human,Issues/PRs
alexbbb,0,0,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
Soreine,0,0,0,0,2,2,0,0,98,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
pbiecek,26,5,55,3,73,3,114,1,411,0,107.4791667,37,178,0,0,0,0,2,0,0.155126307,0.162109009,0.187835978,138.5609065,1221.32,10,0,0.166385433,14.04071158,Human,Issues/PRs
guillochon,3,2,13,2,3,2,212,1,42,14,3317.504167,320,0,0,0,0,0,2,0.246116795,0,0.244452968,0,257.6666667,0,0,1,0.999231706,0.016753405,Human,Issues/PRs
ijazalise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
CrowdHailer,16,3,26,3,49,3,44,2,210,30,0,104,112,0,0,0,0,0,0.171297177,0.181234938,0.178027884,0.186150361,164.1755725,164.974359,11,0,0.072790463,11.18290584,Human,Issues/PRs
RVenkatesh,2,2,1,1,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
zouter,0,0,0,0,1,1,38,1,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.842857143,1.074603175,Human,Issues/PRs
fyrkant,11,4,0,0,0,0,32,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5.395833333,Human,Issues/PRs
gentledepp,80,5,28,3,52,4,55,2,7,14,0,729,296,0,0,0,0,1,0.334670044,0.298503612,0.337729215,0.304184607,708.5622318,553.0141844,22.39285714,0,0.195208605,26.25524943,Human,Issues/PRs
Mimetis,13,3,10,2,191,4,71,1,102,2,0,149,269,0,0,0,0,2,0.179779877,0.165566284,0.192741981,0.185261191,333.3887712,599.2259821,15,0,0.094968156,17.1746374,Human,Issues/PRs
saheienko,4,1,8,3,2,2,6,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85294118,0.72864604,0.794343595,15.01674837,Human,Issues/PRs
suhothayan,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
mikebrow,11,2,75,3,67,2,35,2,68,15,41.50416667,117,213.5,0,0,0,0,4,0.100335009,0.056094367,0.170862289,0.110108412,169.804878,277.8343558,21.38235294,0.580947502,0.479967636,24.7928087,Human,Issues/PRs
watson,69,3,74,3,22,3,61,1,1509,72,0,69,338,0,0,0,0,5,0,0.080323187,0.146484381,0.205419305,109.6809524,447.9285714,14.48076923,0,0.173910815,18.18900463,Human,Issues/PRs
gmorse81,19,4,12,2,0,0,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.45833333,0,0.104524228,25.40939616,Human,Issues/PRs
blanquer,10,3,7,2,0,0,15,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.97718254,0.060783067,0.115009469,92.4129485,Human,Issues/PRs
knownasilya,107,4,28,3,61,3,92,1,172,168,0,47.5,118,0,0,0,0,6,0,0.081758743,0.063783229,0.128367866,80.70833333,174.7385621,6.5,0,0.046917518,8.40222908,Human,Issues/PRs
juanjoDiaz,53,4,21,3,44,3,61,1,20,0,0,148,124.5,0,0,0,0,0,0.168981592,0.146626636,0.19590217,0.161618812,290.2688928,195.1612903,17.5,0,0.08358053,19.78465958,Human,Issues/PRs
breeswish,15,4,62,3,115,3,17,1,605,67,0,49,81,0,0,0,0,6,0.032826608,0.052888589,0.081061518,0.097246692,73.09034268,127.90766,30.5,0.062324804,0.254537839,122.6334833,Human,Issues/PRs
rod-hynes,8,3,19,2,0,0,104,1,33,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,29,0,0.05811376,43.69169205,Human,Issues/PRs
daddyz,5,4,1,1,16,3,5,1,8,0,61488.16667,110.5,289,0,0,0,0,0,0.140752155,0.333840942,0.164368828,0.316971177,110.8181818,242,22,0,0,16.83333333,Human,Issues/PRs
vks,26,4,87,3,68,3,54,1,22,6,0,122,301.5,0,0,0,0,0,0.168263478,0.128564869,0.178193572,0.142562251,215.8885542,668.9802784,25.5,0,0.056519824,42.07701713,Human,Issues/PRs
boxtown,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
kastermester,3,2,1,1,0,0,4,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45454545,0,0.079209252,18.55360422,Human,Issues/PRs
kelindar,77,6,42,3,10,1,66,1,93,21,0,89,489,0,0,0,0,0,0.19114485,0.208151113,0.186230637,0.208151113,113.7777778,489,7,0,0.227520715,11.71446403,Human,Issues/PRs
jrbalderrama,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
tsuberim,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
tibetsprague,12,2,48,3,83,3,74,1,17,3,0.083333333,67,287.5,0,0,0,0,4,0.066421116,0.351537423,0.123282523,0.298559944,109.2857143,367.2083333,35.5,0.089087081,0.125577632,33.40061511,Human,Issues/PRs
Kwpolska,28,4,54,3,83,4,76,2,85,25,18.11666667,167,286,0,0,0,0,0,0.192582222,0.355765647,0.189959781,0.329183415,225.5542169,459.3235294,28.75,0.054554473,0.136474345,39.29273707,Human,Issues/PRs
st0012,60,3,49,3,15,2,133,1,252,123,6203.241667,233,802,0,0,0,0,5,0.207019668,0,0.2153357,0.00092507,248.3548387,803.6666667,18.5,0,0.08758203,33.10993207,Human,Issues/PRs
alban,28,4,81,3,28,3,120,2,86,0,0,254,183.5,0,0,0,0,3,0.278020724,0.20137188,0.260118229,0.203271262,463.08,298.35,84.41836735,0.350070021,0.372299946,121.9942924,Human,Issues/PRs
gberaudo,60,3,96,3,24,2,78,1,15,1,0,57,49.5,0,0,0,0,0,0.102299151,0.298640917,0.135333161,0.233368367,75.52830189,50,29.37867647,0.385758375,0.359774861,30.06159621,Human,Issues/PRs
mihaitodor,98,1,0,0,1,1,0,0,86,445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
g-arjones,4,3,9,3,26,2,3,1,8,0,0,105,141.5,0,0,0,0,0,0.075117463,0.022496064,0.102724311,0.1263349,370.0895522,143.6111111,31.7032967,0.731517864,0.808397314,22.43436028,Human,Issues/PRs
austinkelleher,56,4,80,3,5,1,48,2,127,128,0,126,0,0,0,0,0,5.5,0.27852425,0,0.291428983,0,128.6666667,0,28.5,0,0,36.61497889,Human,Issues/PRs
niemyjski,64,6,11,3,134,4,61,1,148,187,0,108,208,0,0,0,0,5,0.189878587,0.10904816,0.197913584,0.141690274,143.9715805,395.3710873,24.5,0,0.103293356,43.74778249,Human,Issues/PRs
bobthecow,33,3,22,3,64,3,41,2,915,29,0,95,540,0,0,0,0,0,0.136620648,0.096752139,0.145428889,0.133687596,142.6116751,706.9779006,19.5,0,0.12428124,60.18001085,Human,Issues/PRs
dantman,14,4,6,2,96,3,25,1,92,1,0,391,424,0,0,0,0,0,0.372842215,0.263417768,0.384434245,0.302738443,675.7393736,420.4074074,42.25,0.010910895,0.108626949,55.02408851,Human,Issues/PRs
minarikg,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
althonos,59,6,18,3,49,3,140,1,161,165,0,94,122,0,0,0,0,1,0.148522131,0.138413923,0.157569485,0.135356673,123.5041322,198.0510204,27.5,0.081649658,0.093180001,27.93321488,Human,Issues/PRs
coreybutler,47,5,3,2,100,3,113,1,746,7,0,230,277,0,0,0,0,1,0.166666667,0.202948289,0.19431698,0.217275306,272.8784893,259.2265276,18.44602273,0,0.130146897,22.09960449,Human,Issues/PRs
ericpre,54,3,60,3,49,3,66,1,11,3,0,145,264.5,0,0,0,0,7,0.125656172,0.177088558,0.143952091,0.196947354,197.1377871,452.3237885,20.5,0,0.149986432,24.32040362,Human,Issues/PRs
nehaljwani,27,3,82,3,67,3,118,1,93,13,0,55.5,83.5,0,0,0,0,5,0.165925706,0.309838668,0.220345418,0.340730825,90.94285714,115.2727273,21.85714286,0.086710997,0.198883224,27.50907414,Human,Issues/PRs
kalefranz,0,0,0,0,0,0,0,0,199,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
msarahan,5,4,2,2,8,2,2,1,201,12,0,280,0,0,0,0,0,0,0.292990391,0,0.292990391,0,280,0,0,0,0,0,Human,Issues/PRs
Havunen,13,4,10,2,70,3,23,1,82,16,229.025,88,133,0,0,0,0,0,0.109481968,0.179748528,0.126413134,0.166517641,120.0382916,170.1962617,34.5,0,0.103449154,34.79820538,Human,Issues/PRs
dvtng,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
noelherrick,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
peterbe,27,2,49,3,135,4,53,1,497,65,1.416666667,120,142.5,0,0,0,0,33,0.077151675,0.107023677,0.195168724,0.163256125,213.1070807,153.3212435,42.96875,0,0.048732467,61.0169979,Human,Issues/PRs
davidv1992,15,2,29,3,2,1,36,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.09600489,26.39721725,Human,Issues/PRs
