login,Total number of Repo activities,Unique number of Repo activities,Total number of PR activities,Unique number of PR activities,Total number of Issue activities,Unique number of Issue activities,Total number of Commit activities,Unique number of Commit activities,Number of following,Number of followers,Median Creation Time of the first activities,Text similarity,Text similarity of Comments Before Bot,Account tag,Account name,Account bio,Account login,Median Activity per Day,Cosine similarity,Cosine similarity of Comments Before Bot,Average Cosine similarity,Average Cosine similarity of Comments Before Bot,Average Text similarity,Average Text similarity of Comments Before Bot,Text similarity of Commit Messages,Cosine similarity of Commit Messages,Average Cosine similarity of Commit Messages,Average Text similarity of Commit Messages,Type,Data_Source
glickbot,3,2,1,1,1,1,3,1,26,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0.131590339,0.421060226,26.66666667,Human,Issues/PRs
jujubot,6,1,139,2,20,1,135,1,3,0,0,0,0,0,1,0,1,10,1,0,1,0,0,0,358,0.342166466,0.343312223,558.5831775,Bot,Issues/PRs
dxrobot,95,2,86,1,0,0,119,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,18,0.471404521,0.363979164,24.26162162,Bot,Issues/PRs
sacloud-bot,14,3,1,1,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
RiotTranslateBot,2,2,61,2,0,0,107,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,411,0.857736696,0.905157797,274,Bot,Issues/PRs
khanbot,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.795977876,1,22.75163399,0,0,0,0,0,Bot,Issues/PRs
acarabott,8,3,2,1,2,2,1,1,169,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
brototyp-bot,0,0,0,0,7,1,0,0,0,0,0.191666667,200,0,0,0,0,1,0,0.92267632,0,0.958760704,0,106.6666667,0,0,0,0,0,Bot,Issues/PRs
bottlenecked,8,2,0,0,18,3,8,1,4,0,589.6416667,151,0,0,0,0,0,0,0.222222222,0,0.222222222,0,151,0,0,0,0,0,Human,Issues/PRs
ArduinoBot,19,2,3,1,157,2,0,0,9,0,0,10,0,0,1,0,1,0,0.88317757,0,0.88317757,0,9,0,0,0,0,0,Bot,Issues/PRs
AgoricBot,148,2,149,2,0,0,3,1,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
warmrobot,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Human,Issues/PRs
NuKeeperBot,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
BloggerBust-bot,99,1,101,1,0,0,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Human,Issues/PRs
andreubotella,43,3,62,3,46,2,57,1,1,1,470.0875,327,299,0,0,0,0,1,0.361305061,0.26946315,0.375392205,0.291285237,430.4713376,259.625,41,0,0.098759789,100.5916399,Human,Issues/PRs
commitizen-bot,16,2,0,0,29,1,0,0,0,0,204392.875,3,140,0,1,0,1,0,1,0.106072782,0.989383316,0.142103742,4.445121951,161.8529412,0,0,0,0,Bot,Issues/PRs
cristianbote,64,4,29,3,67,3,47,1,226,143,133.525,125,198.5,0,0,0,0,1,0.179143591,0.117428241,0.18810129,0.136060732,192.4422982,277.837156,22,0,0,39.30623819,Human,Issues/PRs
coorpacademybot,1,1,1,1,0,0,297,1,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
symfony-bot,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bot,Issues/PRs
blueprint-bot,0,0,0,0,51,1,88,1,1,0,0.633333333,22,0,0,1,0,1,0,0.917159763,0,0.909623592,0,23.0605227,0,0,0,0,0,Bot,Issues/PRs
